timestamp(ms);DataLoss;Millisekunden_pro_100000_Nachrichten;
"1705343813,363";"0";;
"1705343813,365";;"49890";
"1705343864,256";"0";;
"1705343864,258";;"50894";
"1705343915,149";"0";;
"1705343915,151";;"50894";
"1705343966,042";"0";;
"1705343966,044";;"50894";
"1705344016,935";"0";;
"1705344016,937";;"50894";
"1705344067,829";"0";;
"1705344067,831";;"50895";
"1705344118,723";"0";;
"1705344118,724";;"50894";
"1705344169,616";"0";;
"1705344169,619";;"50895";
"1705344220,509";"0";;
"1705344220,511";;"50894";
"1705344271,401";"0";;
"1705344271,403";;"50892";
"1705344322,293";"0";;
"1705344322,296";;"50894";
"1705344373,186";"0";;
"1705344373,188";;"50893";
"1705344424,079";"0";;
"1705344424,081";;"50894";
"1705344474,973";"0";;
"1705344474,976";;"50896";
"1705344525,867";"0";;
"1705344525,869";;"50894";
"1705344576,759";"0";;
"1705344576,762";;"50894";
"1705344627,653";"0";;
"1705344627,655";;"50894";
"1705344678,547";"0";;
"1705344678,549";;"50895";
"1705344729,44";"0";;
"1705344729,443";;"50895";
"1705344780,334";"0";;
"1705344780,336";;"50894";
"1705344831,227";"0";;
"1705344831,229";;"50893";
"1705344882,12";"0";;
"1705344882,122";;"50895";
"1705344933,013";"0";;
"1705344933,016";;"50894";
"1705344983,907";"0";;
"1705344983,91";;"50895";
"1705345034,801";"0";;
"1705345034,803";;"50894";
"1705345085,693";"0";;
"1705345085,695";;"50894";
"1705345136,585";"0";;
"1705345136,588";;"50893";
"1705345187,477";"0";;
"1705345187,48";;"50893";
"1705345238,369";"0";;
"1705345238,371";;"50893";
"1705345289,261";"0";;
"1705345289,264";;"50893";
"1705345340,155";"0";;
"1705345340,157";;"50894";
"1705345391,047";"0";;
"1705345391,05";;"50893";
"1705345441,939";"0";;
"1705345441,942";;"50894";
"1705345492,831";"0";;
"1705345492,834";;"50893";
"1705345543,723";"0";;
"1705345543,726";;"50892";
"1705345594,615";"0";;
"1705345594,617";;"50893";
"1705345645,506";"0";;
"1705345645,509";;"50892";
"1705345696,4";"0";;
"1705345696,401";;"50894";
"1705345747,291";"0";;
"1705345747,293";;"50893";
"1705345798,183";"0";;
"1705345798,186";;"50893";
"1705345849,078";"0";;
"1705345849,08";;"50896";
"1705345899,972";"0";;
"1705345899,974";;"50894";
"1705345950,865";"0";;
"1705345950,868";;"50895";
"1705346001,758";"0";;
"1705346001,761";;"50894";
"1705346052,652";"0";;
"1705346052,654";;"50894";
"1705346103,544";"0";;
"1705346103,547";;"50894";
"1705346154,437";"0";;
"1705346154,439";;"50893";
"1705346205,329";"0";;
"1705346205,331";;"50893";
"1705346256,221";"0";;
"1705346256,223";;"50893";
"1705346307,112";"0";;
"1705346307,115";;"50892";
"1705346358,003";"0";;
"1705346358,005";;"50892";
"1705346408,893";"0";;
"1705346408,895";;"50891";
"1705346459,784";"0";;
"1705346459,787";;"50892";
"1705346510,676";"0";;
"1705346510,678";;"50893";
"1705346561,567";"0";;
"1705346561,569";;"50892";
"1705346612,458";"0";;
"1705346612,46";;"50892";
"1705346663,348";"0";;
"1705346663,351";;"50891";
"1705346714,239";"0";;
"1705346714,241";;"50892";
"1705346765,13";"0";;
"1705346765,132";;"50891";
"1705346816,021";"0";;
"1705346816,023";;"50892";
"1705346866,912";"0";;
"1705346866,914";;"50893";
"1705346917,804";"0";;
"1705346917,806";;"50892";
"1705346968,695";"0";;
"1705346968,698";;"50893";
"1705347019,585";"0";;
"1705347019,588";;"50891";
"1705347070,476";"0";;
"1705347070,478";;"50892";
"1705347121,368";"0";;
"1705347121,37";;"50892";
"1705347172,258";"0";;
"1705347172,261";;"50892";
"1705347223,15";"0";;
"1705347223,152";;"50892";
"1705347274,041";"0";;
"1705347274,044";;"50893";
"1705347324,933";"0";;
"1705347324,935";;"50892";
"1705347375,824";"0";;
"1705347375,827";;"50892";
"1705347426,717";"0";;
"1705347426,719";;"50893";
"1705347477,608";"0";;
"1705347477,611";;"50893";
"1705347528,501";"0";;
"1705347528,503";;"50893";
"1705347579,393";"0";;
"1705347579,396";;"50894";
"1705347630,286";"0";;
"1705347630,289";;"50894";
"1705347681,179";"0";;
"1705347681,181";;"50894";
"1705347732,073";"0";;
"1705347732,075";;"50894";
"1705347782,965";"0";;
"1705347782,967";;"50893";
"1705347833,858";"0";;
"1705347833,86";;"50894";
"1705347884,75";"0";;
"1705347884,752";;"50894";
"1705347935,643";"0";;
"1705347935,645";;"50893";
"1705347986,535";"0";;
"1705347986,537";;"50893";
"1705348037,427";"0";;
"1705348037,429";;"50894";
"1705348088,318";"0";;
"1705348088,321";;"50892";
"1705348139,211";"0";;
"1705348139,213";;"50893";
"1705348190,103";"0";;
"1705348190,105";;"50892";
"1705348240,993";"0";;
"1705348240,996";;"50892";
"1705348291,885";"0";;
"1705348291,887";;"50892";
"1705348342,776";"0";;
"1705348342,778";;"50893";
"1705348393,667";"0";;
"1705348393,67";;"50892";
"1705348444,567";"0";;
"1705348444,568";;"50894";
"1705348495,452";"0";;
"1705348495,457";;"50893";
"1705348546,345";"0";;
"1705348546,347";;"50893";
"1705348597,237";"0";;
"1705348597,239";;"50893";
"1705348648,13";"0";;
"1705348648,132";;"50894";
"1705348699,022";"0";;
"1705348699,024";;"50893";
"1705348749,914";"0";;
"1705348749,917";;"50894";
"1705348800,807";"0";;
"1705348800,809";;"50893";
"1705348851,699";"0";;
"1705348851,701";;"50893";
"1705348902,591";"0";;
"1705348902,593";;"50893";
"1705348953,484";"0";;
"1705348953,486";;"50894";
"1705349004,376";"0";;
"1705349004,378";;"50893";
"1705349055,268";"0";;
"1705349055,271";;"50893";
"1705349106,16";"0";;
"1705349106,163";;"50893";
"1705349157,053";"0";;
"1705349157,055";;"50894";
"1705349207,944";"0";;
"1705349207,947";;"50892";
"1705349258,836";"0";;
"1705349258,839";;"50893";
"1705349309,728";"0";;
"1705349309,731";;"50893";
"1705349360,621";"0";;
"1705349360,624";;"50894";
"1705349411,513";"0";;
"1705349411,515";;"50892";
"1705349462,405";"0";;
"1705349462,407";;"50893";
"1705349513,296";"0";;
"1705349513,299";;"50893";
"1705349564,188";"0";;
"1705349564,191";;"50893";
"1705349615,08";"0";;
"1705349615,082";;"50892";
"1705349665,971";"0";;
"1705349665,973";;"50892";
"1705349716,863";"0";;
"1705349716,865";;"50893";
"1705349767,755";"0";;
"1705349767,757";;"50893";
"1705349818,646";"0";;
"1705349818,648";;"50892";
"1705349869,538";"0";;
"1705349869,54";;"50893";
"1705349920,429";"0";;
"1705349920,431";;"50891";
"1705349971,319";"0";;
"1705349971,322";;"50892";
"1705350022,21";"0";;
"1705350022,212";;"50891";
"1705350073,105";"0";;
"1705350073,106";;"50892";
"1705350123,991";"0";;
"1705350123,993";;"50892";
"1705350174,881";"0";;
"1705350174,884";;"50891";
"1705350225,772";"0";;
"1705350225,774";;"50891";
"1705350276,663";"0";;
"1705350276,665";;"50892";
"1705350327,554";"0";;
"1705350327,556";;"50892";
"1705350378,445";"0";;
"1705350378,447";;"50892";
"1705350429,338";"0";;
"1705350429,34";;"50894";
"1705350480,228";"0";;
"1705350480,231";;"50891";
"1705350531,119";"0";;
"1705350531,121";;"50892";
"1705350582,011";"0";;
"1705350582,013";;"50893";
"1705350632,903";"0";;
"1705350632,905";;"50893";
"1705350683,795";"0";;
"1705350683,798";;"50893";
"1705350734,688";"0";;
"1705350734,69";;"50894";
"1705350785,58";"0";;
"1705350785,582";;"50893";
"1705350836,471";"0";;
"1705350836,474";;"50892";
"1705350887,364";"0";;
"1705350887,366";;"50893";
"1705350938,255";"0";;
"1705350938,257";;"50893";
"1705350989,147";"0";;
"1705350989,149";;"50893";
"1705351040,038";"0";;
"1705351040,041";;"50892";
"1705351090,928";"0";;
"1705351090,931";;"50891";
