timestamp(ms),DataLoss,Millisekunden_pro_10000_Nachrichten,
"1705408954.582","0",,
"1705408954.584",,"2365",
"1705408956.732","0",,
"1705408956.734",,"2150",
"1705408958.883","0",,
"1705408958.884",,"2150",
"1705408961.033","0",,
"1705408961.035",,"2151",
"1705408963.183","0",,
"1705408963.185",,"2150",
"1705408965.333","0",,
"1705408965.336",,"2150",
"1705408967.484","0",,
"1705408967.486",,"2151",
"1705408969.634","0",,
"1705408969.636",,"2150",
"1705408971.784","0",,
"1705408971.787",,"2151",
"1705408973.935","0",,
"1705408973.937",,"2150",
"1705408976.085","0",,
"1705408976.087",,"2151",
"1705408978.235","0",,
"1705408978.237",,"2149",
"1705408980.385","0",,
"1705408980.387",,"2151",
"1705408982.537","0",,
"1705408982.539",,"2151",
"1705408984.687","0",,
"1705408984.689",,"2150",
"1705408986.837","0",,
"1705408986.839",,"2150",
"1705408988.987","0",,
"1705408988.99",,"2151",
"1705408991.138","0",,
"1705408991.14",,"2150",
"1705408993.288","0",,
"1705408993.29",,"2150",
"1705408995.438","0",,
"1705408995.44",,"2151",
"1705408997.589","0",,
"1705408997.591",,"2150",
"1705408999.738","0",,
"1705408999.741",,"2150",
"1705409001.889","0",,
"1705409001.891",,"2151",
"1705409004.04","0",,
"1705409004.043",,"2151",
"1705409006.191","0",,
"1705409006.193",,"2151",
"1705409008.341","0",,
"1705409008.343",,"2150",
"1705409010.492","0",,
"1705409010.494",,"2151",
"1705409012.642","0",,
"1705409012.644",,"2150",
"1705409014.792","0",,
"1705409014.794",,"2150",
"1705409016.942","0",,
"1705409016.945",,"2150",
"1705409019.093","0",,
"1705409019.095",,"2151",
"1705409021.242","0",,
"1705409021.245",,"2150",
"1705409023.393","0",,
"1705409023.395",,"2150",
"1705409025.544","0",,
"1705409025.546",,"2151",
"1705409027.694","0",,
"1705409027.697",,"2151",
"1705409029.844","0",,
"1705409029.846",,"2150",
"1705409031.995","0",,
"1705409031.997",,"2150",
"1705409034.145","0",,
"1705409034.147",,"2151",
"1705409036.295","0",,
"1705409036.298",,"2150",
"1705409038.452","0",,
"1705409038.453",,"2150",
"1705409040.597","0",,
"1705409040.599",,"2151",
"1705409042.746","0",,
"1705409042.749",,"2150",
"1705409044.897","0",,
"1705409044.899",,"2150",
"1705409047.048","0",,
"1705409047.05",,"2152",
"1705409049.198","0",,
"1705409049.2",,"2150",
"1705409051.348","0",,
"1705409051.35",,"2150",
"1705409053.499","0",,
"1705409053.501",,"2151",
"1705409055.649","0",,
"1705409055.651",,"2150",
"1705409057.799","0",,
"1705409057.801",,"2150",
"1705409059.95","0",,
"1705409059.952",,"2151",
"1705409062.1","0",,
"1705409062.103",,"2150",
"1705409064.254","0",,
"1705409064.255",,"2150",
"1705409066.4","0",,
"1705409066.403",,"2151",
"1705409068.552","0",,
"1705409068.554",,"2151",
"1705409070.702","0",,
"1705409070.704",,"2150",
"1705409072.852","0",,
