timestamp(ms);An_hall_value;Max;Min;Smooth;
"1699249605.442";"1856";"1856";;;
"1699249605.445";;;"1856";"1856";
"1699249605.448";"1858";"1858";;;
"1699249605.45";;;"1856";"1856";
"1699249605.453";"1856";"1858";;;
"1699249605.454";;;"1856";;
"1699249605.456";"1857";;;"1856";
"1699249605.459";;"1858";"1856";;
"1699249605.462";"1856";;;"1856";
"1699249605.475";;"1858";;;
"1699249605.476";;;"1856";"1856";
"1699249605.479";"1856";"1858";;;
"1699249605.48";"1855";"1858";"1855";"1856";
"1699249605.481";"1856";"1858";"1855";;
"1699249605.486";"1858";"1858";;"1856";
"1699249605.487";;;"1855";;
"1699249605.489";;;;"1856";
"1699249605.49";"1857";"1858";"1855";"1856";
"1699249605.492";"1857";"1858";;;
"1699249605.495";;;"1855";"1856";
"1699249605.501";"1858";;;;
"1699249605.502";;"1858";"1855";"1856";
"1699249605.507";"1858";;;;
"1699249605.508";;"1858";"1855";"1856";
"1699249605.51";"1855";;;;
"1699249605.521";;"1858";;;
"1699249605.522";"1856";;"1855";"1856";
"1699249605.523";"1858";"1858";"1855";"1856";
"1699249605.525";"1856";;;;
"1699249605.526";;"1858";;;
"1699249605.527";;;"1855";;
"1699249605.533";"1856";"1858";"1855";"1857";
"1699249605.534";;"1858";"1855";;
"1699249605.535";;;;"1856";
"1699249605.537";"1855";"1858";;;
"1699249605.539";;;"1855";"1856";
"1699249605.542";"1858";"1858";"1855";;
"1699249605.545";;;;"1856";
"1699249605.548";"1857";"1858";;;
"1699249605.549";;;"1855";;
"1699249605.551";"1857";;;"1856";
"1699249605.553";;"1858";"1855";"1856";
"1699249605.556";"1856";"1858";;;
"1699249605.559";;;"1855";"1856";
"1699249605.562";"1856";"1858";;;
"1699249605.564";;;"1855";"1856";
"1699249605.567";"1856";;;;
"1699249605.568";;"1858";"1855";;
"1699249605.57";"1857";;;"1856";
"1699249605.573";;"1858";"1855";;
"1699249605.575";"1856";;;"1856";
"1699249605.578";;"1858";"1855";"1856";
"1699249605.581";"1855";"1858";;;
"1699249605.584";;;"1855";"1856";
"1699249605.588";"1857";"1858";;;
"1699249605.589";;;"1855";"1856";
"1699249605.592";"1853";"1858";"1853";;
"1699249605.595";"1856";;;"1856";
"1699249605.598";;"1858";"1853";"1855";
"1699249605.6";"1859";"1859";;;
"1699249605.603";;;"1853";"1856";
"1699249605.606";"1859";"1859";;;
"1699249605.609";;;"1853";"1856";
"1699249605.612";"1858";"1859";"1853";;
"1699249605.618";"1857";;;"1856";
"1699249605.619";;"1859";"1853";;
"1699249605.62";"1857";;;"1856";
"1699249605.623";;"1859";;;
"1699249605.624";;;"1853";"1856";
"1699249605.625";"1856";"1859";;;
"1699249605.628";;;"1853";"1856";
"1699249605.631";"1855";"1859";;;
"1699249605.634";;;"1853";"1856";
"1699249605.637";"1855";"1859";"1853";;
"1699249605.639";"1855";;;"1856";
"1699249605.642";;"1859";;;
"1699249605.643";;;"1853";;
"1699249605.645";"1855";;;"1856";
"1699249605.648";;"1859";"1853";"1856";
